,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
292,L.8,10,1263,2553.49367088608,255396817.101182,17.0315975388871,4.74683544303798,4.41030837203085e-06,25MB,NC,100000,4.41030837203085,A2
293,NA,0,1303,0,0,55.57914791,1,NA,25MB,NC,100000,NA,NA
294,L.10,0,58,165.234782608696,16573564.9245416,89.7720837519829,3.94782608695652,-0.00118409279395759,50MB,NC,100000,-1184.09279395759,Sex
295,L.10,1,126,718.619047619048,71913537.8656463,55.6320601404762,2,-2.25644716388717e-17,50MB,NC,100000,-2.25644716388717e-11,Sex
296,L.10,2,141.5,1266.6,126712656.375,54.529429257,2.8,3.21029614460717e-18,50MB,NC,100000,3.21029614460717e-12,Sex
297,L.3,0,218.5,153.465277777778,15393953.6596496,32.5526049445417,4.36805555555556,-1.44286284219864e-05,50MB,NC,100000,-14.4286284219864,A4
298,L.5,0,369.5,176.746835443038,17727141.902088,33.8816802025061,4,5.75463661734952e-05,50MB,NC,100000,57.5463661734952,A3
299,L.5,1,463,877.586206896552,87807307.6392447,49.6952561813793,2.51724137931034,1.27234583078251e-17,50MB,NC,100000,1.27234583078251e-11,A3
300,L.5,2,493.5,1189.21875,118970710.148512,50.9530394965625,2.15625,2.62784359026441e-05,50MB,NC,100000,26.2784359026441,A3
301,L.7,0,540.5,48.9032258064516,4937206.82197156,130.815941232465,4.74193548387097,-1.5375084621972e-05,50MB,NC,100000,-15.375084621972,A1
302,L.7,2,573,1405,140556224.933333,0,6.66666666666667,0,50MB,NC,100000,0,A1
303,L.7,3,576.5,1742,174252120.027778,69.0335698225,3,1.57081057677887e-17,50MB,NC,100000,1.57081057677887e-11,A1
304,L.7,6,611,3386.03076923077,338648257.179199,39.2266567762294,5.24615384615385,-1.33037996453592e-05,50MB,NC,100000,-13.3037996453592,A1
305,L.8,0,729.5,202.075581395349,20257679.1125553,79.0813228754697,3.56395348837209,6.0674533269064e-05,50MB,NC,100000,60.674533269064,A2
306,L.8,1,854.5,746,74650281.9007091,53.2023585870085,2.79487179487179,1.58015220906413e-05,50MB,NC,100000,15.8015220906413,A2
307,L.8,2,935.5,1245.29761904762,124580518.371935,52.0926483172279,3.26190476190476,-1.67632240504523e-05,50MB,NC,100000,-16.7632240504523,A2
308,L.8,3,1025.5,1734.13541666667,173462768.578398,55.4542628778125,2.88541666666667,0.000172375293963293,50MB,NC,100000,172.375293963293,A2
309,L.8,4,1148.5,2301.7,230215087.573628,48.6411652913444,5.40666666666667,1.51276102774319e-06,50MB,NC,100000,1.51276102774319,A2
310,L.8,5,1263,2553.49367088608,255396817.101182,17.0315975388871,4.74683544303798,4.41030837203085e-06,50MB,NC,100000,4.41030837203085,A2
311,NA,0,1303,0,0,55.57914791,1,NA,50MB,NC,100000,NA,NA
312,L.10,1,5,8.6,916012.248095237,40.460642788,8,2.46836361374021e-19,25CM,NC,100000,2.46836361374021e-13,Sex
313,L.10,2,111.014492753623,567.449275362319,56794675.5910973,56.8669182134783,2.40579710144928,-0.00246722774444123,25CM,NC,100000,-2467.22774444123,Sex
314,L.10,3,69.2105263157895,206.473684210526,20697527.8887218,94.6367628801754,2.94736842105263,-0.000143287557559499,25CM,NC,100000,-143.287557559499,Sex
315,L.10,4,37.7441860465116,78.9302325581395,7943711.45782385,112.00705578383,5.11627906976744,-1.81570184038987e-05,25CM,NC,100000,-18.1570184038987,Sex
316,L.10,5,10.8,24.5,2502552.5652521,129.68347229,4.2,5.46420560760856e-19,25CM,NC,100000,5.46420560760856e-13,Sex
317,L.3,0,259.175438596491,235.508771929825,23601430.3992766,19.3639561032528,4.3859649122807,2.85062818009649e-06,25CM,NC,100000,2.85062818009649,A4
318,L.3,1,195.588235294118,103.735294117647,10420212.6989469,36.3954809204574,4.57352941176471,-3.05195298875603e-05,25CM,NC,100000,-30.5195298875603,A4
319,L.3,2,174,77.4444444444444,7786785.26124339,54.7950914520833,3.72222222222222,-6.51969530058724e-06,25CM,NC,100000,-6.51969530058724,A4
320,L.3,4,259,227,22711196,122.6252654,1,NA,25CM,NC,100000,NA,A4
321,L.5,0,353.936170212766,146.978723404255,14749866.2057829,15.2599450766837,5.5531914893617,3.63041043349204e-06,25CM,NC,100000,3.63041043349204,A3
322,L.5,1,369.693069306931,168.792079207921,16931137.2890243,40.6173500515032,3.5049504950495,9.27334931623184e-05,25CM,NC,100000,92.7334931623184,A3
323,L.5,2,473.605633802817,950.352112676056,95085556.182495,50.7802167794366,2.23943661971831,9.76056190673562e-06,25CM,NC,100000,9.76056190673562,A3
324,L.7,0,615.862068965517,2980.79310344828,298133890.268293,14.3755623759368,4.96551724137931,-5.77305902328545e-06,25CM,NC,100000,-5.77305902328545,A1
325,L.7,1,599.433333333333,3366.1,336653311.986408,38.6703188447581,5.63333333333333,-2.28287636847324e-05,25CM,NC,100000,-22.8287636847324,A1
326,L.7,2,581.857142857143,2895.42857142857,289575880.471062,56.16081298,5,-9.77160690501389e-18,25CM,NC,100000,-9.77160690501389e-12,A1
327,L.7,3,576,1682.5,168298000.555555,82.94347291,5,1.57081057677887e-17,25CM,NC,100000,1.57081057677887e-11,A1
328,L.7,4,574.52,746,74641916.4596768,115.625820074182,4.92,5.70589358248535e-07,25CM,NC,100000,0.570589358248535,A1
329,L.7,5,536.56,39.28,3972097.56666667,135.650186722667,3.68,-4.72058072566726e-06,25CM,NC,100000,-4.72058072566726,A1
330,L.7,6,525.375,226,22653812.6300893,157.408852831976,5.875,-5.26685174767532e-05,25CM,NC,100000,-52.6685174767532,A1
331,L.8,0,1274.51923076923,2567.32692307692,256778608.96931,9.81214631004004,5.05769230769231,6.64160461831661e-06,25CM,NC,100000,6.64160461831661,A2
332,L.8,1,1185.84466019417,2386.77669902913,238728883.279185,38.5113157607929,5.66019417475728,2.09999974105968e-06,25CM,NC,100000,2.09999974105968,A2
333,L.8,2,945.23155216285,1285.30534351145,128577749.610715,54.8627128535592,3.43002544529262,3.7083263966133e-05,25CM,NC,100000,37.083263966133,A2
334,L.8,3,749.225,269.05,26957864.3402442,81.4018220130729,3.2625,6.46545763819361e-06,25CM,NC,100000,6.46545763819361,A2
335,L.8,4,675.266666666667,93.5333333333333,9405393.46767974,112.522589909333,3.73333333333333,0.000324082136876987,25CM,NC,100000,324.082136876987,A2
336,L.8,6,1118,2214,221434617,167.0674573,1,NA,25CM,NC,100000,NA,A2
337,NA,2,1303,0,0,55.57914791,1,NA,25CM,NC,100000,NA,NA
338,L.10,0,5,8.6,916012.248095237,40.460642788,8,2.46836361374021e-19,50CM,NC,100000,2.46836361374021e-13,Sex
339,L.10,1,101.988636363636,489.511363636364,49000973.2462662,65.0217710392424,2.52272727272727,-0.0018862426977208,50CM,NC,100000,-1886.2426977208,Sex
340,L.10,2,32.6603773584906,68.6603773584906,6917077.70450842,115.342228709523,4.94339622641509,-1.58873911034113e-05,50CM,NC,100000,-15.8873911034113,Sex
341,L.3,0,224.584,163.824,16430847.9702972,28.6291056038121,4.488,-1.54491359215217e-05,50CM,NC,100000,-15.4491359215217,A4
342,L.3,1,174,77.4444444444444,7786785.26124339,54.7950914520833,3.72222222222222,-6.51969530058724e-06,50CM,NC,100000,-6.51969530058724,A4
343,L.3,2,259,227,22711196,122.6252654,1,NA,50CM,NC,100000,NA,A4
344,L.5,0,364.689189189189,161.864864864865,16238436.3369138,32.564660633824,4.15540540540541,6.01154003776587e-05,50CM,NC,100000,60.1154003776587,A3
345,L.5,1,473.605633802817,950.352112676056,95085556.182495,50.7802167794366,2.23943661971831,9.76056190673562e-06,50CM,NC,100000,9.76056190673562,A3
